,Institue
422,"GITAM
Institue of Med. Sce. and Res., Visakhap atnam,G andhi Institute of Technolo gy and Manage ment (GITAM),
Rushikon da, Visakhap atnam, Andhra Pradesh, 530045"
423,"GITAM Institue of Med. Sce. and Res., Visakhapatnam , Gandhi Institute of Technology and Management (GITAM),
Rushikonda, Visakhapatnam, Andhra Pradesh, 530045"
424,"GITAM Institue of Med. Sce. and Res., Visakhapatnam,Gandhi Institute of Technology and Management (GITAM), Rushikonda, Visakhapatnam, Andhra Pradesh, 530045"
425,"GMC
Jangaon, gmc.jang aon@gm ail.com, Telangan a, 506167"
426,"GMC
Kamared dy,Office of the Principal, Governm ent Medical College Devanpal ly, Kamared dy, Telangan a, Telangan a, 503111"
427,"GMC DAUSA RAJAST HAN,GM C DAUSA MITRAP URA BHANDA REJ MOD DAUSA,
Rajastha n, 303303"
428,"GMC DAUSA RAJASTHAN , GMC DAUSA MITRAPURA BHANDAREJ MOD
DAUSA, Rajasthan, 303303"
429,"GMC DAUSA RAJASTHAN,GMC DAUSA MITRAPURA BHANDAREJ MOD DAUSA,
Rajasthan, 303303"
430,"GMC Jangaon , gmc.jangaon@gmail. com, Telangana, 506167"
431,"GMC Jangaon,gmc.jangaon@gmail.com, Telangana, 506167"
432,"GMC KARAUL
I,mandra yal road karauli, Rajastha n, 322241"
433,"GMC KARAULI ,
mandrayal road karauli, Rajasthan, 322241"
434,"GMC KARAULI,mandrayal road karauli, Rajasthan, 322241"
435,"GMC Kamareddy , Office of the Principal, Government Medical College Devanpally, Kamareddy, Telangana, Telangana, 503111"
436,"GMC Kamareddy,Office of the Principal, Government Medical College Devanpally, Kamareddy, Telangana, Telangana, 503111"
437,"GMC,
Azamgar h, UP,Gove rnment Medical College and Super Facility Hospital Chakrap anpur Post Office- Kanaila Azamgar h, Uttar Pradesh, 276128"
438,"GMC,
Manjeri, Kerala,G OVERN MENT MEDICA L COLLEG E, MANJER I, MALAPP URAM,
Kerala, 676121"
439,"GMC,
Rajamah endravar am,Gove rnment Medical College, Rajamah endravar am, Opposite District Hospital, Sivasesh upuram CTRI,
Andhra Pradesh, 533105"
440,"GMC,
Shahjhan pur,AUT ONOMO US STATE MEDICA L COLLEG E ALLIED PANDIT RAM PRASAD BISMIL HOSPIT AL SHAHJA HANPUR UTTAR PRADES
H, Uttar Pradesh, 242001"
441,"GMC,
Rajamahendravaram
, Government Medical College, Rajamahendravaram, Opposite District Hospital, Sivaseshupuram CTRI, Andhra Pradesh, 533105"
442,"GMC, Azamgarh, UP
, Government Medical College and Super Facility Hospital Chakrapanpur Post Office-Kanaila Azamgarh, Uttar Pradesh, 276128"
443,"GMC, Azamgarh, UP,Government Medical College and Super Facility Hospital Chakrapanpur Post Office-Kanaila Azamgarh, Uttar Pradesh, 276128"
444,"GMC, Manjeri, Kerala
, GOVERNMENT MEDICAL COLLEGE, MANJERI, MALAPPURAM,
Kerala, 676121"
445,"GMC, Manjeri, Kerala,GOVERNMENT MEDICAL COLLEGE, MANJERI, MALAPPURAM, Kerala, 676121"
446,"GMC, Rajamahendravaram,Government Medical College, Rajamahendravaram, Opposite District Hospital, Sivaseshupuram CTRI, Andhra Pradesh, 533105"
447,"GMC, Shahjhanpur , AUTONOMOUS STATE MEDICAL COLLEGE ALLIED PANDIT RAM PRASAD BISMIL HOSPITAL SHAHJAHANPUR UTTAR PRADESH,
Uttar Pradesh, 242001"
448,"GMC, Shahjhanpur,AUTONOMOUS STATE MEDICAL COLLEGE ALLIED PANDIT RAM PRASAD BISMIL HOSPITAL SHAHJAHANPUR UTTAR PRADESH, Uttar
Pradesh, 242001"
449,"GMERS
Medical College, Morbi,Gi bson middle school, Opp railway station, Morbi, Gujarat, 363641"
450,"GMERS
Medical College, Navsari, Adarsh Nivasi Shala Campus, At & Po.
-
Khambhl av, Aat, Ta - Jalalpore
, Dist - Navsari., Gujarat, 396403"
451,"GMERS
Medical College, Panchma hal Godhra, Governm ent Engineeri ng College Campus, Godhra Lunawad a Road, Chabanp ur, Godhra, Gujarat, 389001"
452,"GMERS
Medical College, Porband ar,Nr.
Maharani Rupaliba Lady Hospital, ST bus station road, Porband ar, Gujarat, 360575"
453,"GMERS
Medical College, Rajpipla, GMERS
Medical College, Rajpipla Near Jakat Naka, Vadia Palace, Rajpipla Dist Narmada
, GUJARA T.,
Gujarat, 393145"
454,"GMERS Medical College, Morbi , Gibson middle school, Opp railway station, Morbi, Gujarat, 363641"
455,"GMERS Medical College, Morbi,Gibson middle school, Opp railway station, Morbi, Gujarat, 363641"
456,"GMERS Medical College, Navsari , Adarsh Nivasi Shala Campus, At & Po. - Khambhlav, Aat, Ta - Jalalpore, Dist - Navsari., Gujarat, 396403"
457,"GMERS Medical College, Navsari,Adarsh Nivasi Shala Campus, At & Po. - Khambhlav, Aat, Ta - Jalalpore, Dist - Navsari., Gujarat, 396403"
458,"GMERS Medical College, Panchmahal Godhra , Government Engineering College Campus, Godhra Lunawada Road, Chabanpur, Godhra, Gujarat, 389001"
459,"GMERS Medical College, Panchmahal Godhra,Government Engineering College Campus, Godhra Lunawada Road, Chabanpur, Godhra, Gujarat, 389001"
460,"GMERS Medical College, Porbandar , Nr. Maharani Rupaliba Lady Hospital, ST bus station road, Porbandar, Gujarat, 360575"
461,"GMERS Medical College, Porbandar,Nr. Maharani Rupaliba Lady Hospital, ST bus station road, Porbandar, Gujarat, 360575"
462,"GMERS Medical College, Rajpipla , GMERS Medical College, Rajpipla Near Jakat Naka, Vadia Palace, Rajpipla
Dist Narmada, GUJARAT., Gujarat, 393145"
463,"GMERS Medical College, Rajpipla,GMERS Medical College, Rajpipla Near Jakat Naka, Vadia Palace, Rajpipla
Dist Narmada, GUJARAT., Gujarat, 393145"
464,"GOA DENTAL COLLEG
E & HOSPIT AL, GOA,Ba
mbolim, Goa, Goa, 403202"
465,"GOA DENTAL COLLEGE & HOSPITAL, GOA ,
Bambolim,Goa, Goa, 403202"
466,"GOA DENTAL COLLEGE & HOSPITAL, GOA,Bambolim,Goa, Goa, 403202"
467,"GOA MEDICA L COLLEG E, PANAJI, RAJIV GANDHI MEDICA L COMPLE X, BAMBOL IM, GOA,
Goa, 403202"
468,"GOA MEDICAL COLLEGE, PANAJI , RAJIV GANDHI MEDICAL COMPLEX, BAMBOLIM, GOA, Goa, 403202"
469,"GOA MEDICAL COLLEGE, PANAJI,RAJIV GANDHI MEDICAL COMPLEX, BAMBOLIM, GOA, Goa, 403202"
470,"GOVER MENT MEDICA L COLLEG E NANDU RBAR MAHAR ARASTR A,DISTRI CT CIVIL HOSPIT AL CAMPU S SAKRI ROAD NANDU RBAR,
Maharas htra, 425412"
471,"GOVER NMENT MEDICA L COLLEG E
Karimna gar Telangan a,The Principal, Governm ent Medical College Karimna gar,
127,
Christian Colony, Karimna gar, Telangan a, 505001"
472,"GOVER NMENT MEDICA L COLLEG E AND GENERA L HOSPIT AL, SATARA
,GOVER NMENT MEDICA L COLLEG E AND GENERA L HOSPIT AL SATARA DISTRIC T CIVIL HOSPIT AL CAMPU S SADAR BAZAR CA,
Maharas htra, 415001"
473,"GOVER NMENT MEDICA L COLLEG E AND HOSPIT AL, CHANDI GAR,GO VERNM ENT MEDICA L COLLEG E AND HOSPIT AL, SECTOR 32, CHANDI GARH"
474,"GOVER NMENT MEDICA L COLLEG E MACHILI PATNAM
,KARA AGRAHA RAM NEAR RADAR STATIO N MACHILI PATNAM
, Andhra Pradesh, 521001"
475,"GOVER NMENT MEDICA L COLLEG E NANDYA
L,princip algmcna ndyala@ gmail.co m, Andhra Pradesh, 518501"
476,"GOVER NMENT MEDICA L COLLEG E PURNEA
,govt.mc purnea@ gmail.co m, Bihar, 854301"
477,"GOVER NMENT MEDICA L COLLEG E, AKOLA,
Collector Office Road, Near Ashok Watika, Akola. State Maharas htra. Pin 444001,
Maharas htra, 444001"
478,"GOVER NMENT MEDICA L COLLEG E, ANANTN AG J&K,VER INAG ROAD DIALGA M ANANTN AG,
Jammu And Kashmir, 192210"
479,"GOVER NMENT MEDICA L COLLEG E, BUNDI,G OVT MEDICA L COLLEG E BUNDI,
Rajastha n, 323001"
480,"GOVER NMENT MEDICA L COLLEG E, HANDW ARA,MAI DAN CHOGAL
, HANDW ARA, KUPWA RA,
Jammu And Kashmir, 193221"
481,"GOVER NMENT MEDICA L COLLEG E, LATUR,
Governm ent Medical College, Latur, Behind Old Railway Station, Near Marwadi Rajastha n Vidyalay a, Lat, Maharas htra, 413512"
482,"GOVER NMENT MEDICA L COLLEG E, MIRAJ,P
andharpu r Road Miraj tal Miraj Dist sangli, Maharas htra, 416410"
483,"GOVER NMENT MEDICA L COLLEG E, OSMAN ABAD,N
ew Building, Civil Hospital Compou nd, Marwad Galli, Osmana bad, Maharas htra, 413501"
484,"GOVER NMENT MEDICA L COLLEG E, RAJOUR
I,Govern ment Medical College, Kheora, Mehra, Rajouri, Jammu and Kashmir., Jammu And Kashmir, 185131"
485,"GOVER NMENT MEDICA L COLLEG E, SANGAR EDDY,O PP. TOWN POLICE STATIO N, NETAJI NAGAR, SANGAR EDDY DISTRIC T, TELANG ANA - 502001,
Telangan a, 502001"
486,"GOVER NMENT MEDICA L COLLEG E, SRIGAN GANAG AR, RAJAST HAN,Gov
ernment Medical college sriganga nagar rajasthan
,
Rajastha n, 335001"
487,"GOVER NMENT MEDICA L COLLEG E, SURAT,
Out Side Majura Gate, New Civil Hospital Campus, Opp.
Income Tax office, Surat - 395001,
Gujarat, 395001"
488,"GOVERMENT MEDICAL COLLEGE NANDURBAR MAHARARASTRA , DISTRICT CIVIL HOSPITAL CAMPUS SAKRI ROAD NANDURBAR,
Maharashtra, 425412"
489,"GOVERMENT MEDICAL COLLEGE NANDURBAR MAHARARASTRA,DISTRICT CIVIL HOSPITAL CAMPUS SAKRI ROAD NANDURBAR, Maharashtra, 425412"
490,"GOVERNMENT MEDICAL COLLEGE
Karimnagar Telangana , The Principal, Government Medical College Karimnagar, 127, Christian Colony, Karimnagar, Telangana, 505001"
491,"GOVERNMENT MEDICAL COLLEGE AND GENERAL HOSPITAL, SATARA
, GOVERNMENT MEDICAL COLLEGE AND GENERAL HOSPITAL SATARA DISTRICT CIVIL HOSPITAL CAMPUS SADAR BAZAR CA,
Maharashtra, 415001"
492,"GOVERNMENT MEDICAL COLLEGE AND GENERAL HOSPITAL, SATARA,GOVERNMENT MEDICAL COLLEGE AND GENERAL HOSPITAL SATARA DISTRICT CIVIL HOSPITAL CAMPUS SADAR BAZAR CA, Maharashtra, 415001"
493,"GOVERNMENT MEDICAL COLLEGE AND HOSPITAL, CHANDIGAR , GOVERNMENT MEDICAL COLLEGE AND HOSPITAL, SECTOR 32, CHANDIGARH"
494,"GOVERNMENT MEDICAL COLLEGE AND HOSPITAL, CHANDIGAR,GOVERNMENT MEDICAL COLLEGE AND HOSPITAL, SECTOR 32, CHANDIGARH"
495,"GOVERNMENT MEDICAL COLLEGE Karimnagar Telangana,The Principal, Government Medical College Karimnagar,
127, Christian Colony, Karimnagar, Telangana, 505001"
496,"GOVERNMENT MEDICAL COLLEGE MACHILIPATNAM  , KARA AGRAHARAM NEAR RADAR STATION MACHILIPATNAM,
Andhra Pradesh, 521001"
497,"GOVERNMENT MEDICAL COLLEGE MACHILIPATNAM ,KARA AGRAHARAM NEAR RADAR STATION MACHILIPATNAM, Andhra Pradesh, 521001"
498,"GOVERNMENT MEDICAL COLLEGE NANDYAL ,
principalgmcnandyala @gmail.com, Andhra Pradesh, 518501"
499,"GOVERNMENT MEDICAL COLLEGE NANDYAL,principalgmcnandyala@gmail.com, Andhra Pradesh, 518501"
500,"GOVERNMENT MEDICAL COLLEGE PURNEA ,
govt.mcpurnea@gmai l.com, Bihar, 854301"
501,"GOVERNMENT MEDICAL COLLEGE PURNEA,govt.mcpurnea@gmail.com, Bihar, 854301"
502,"GOVERNMENT MEDICAL COLLEGE,
AKOLA , Collector Office Road, Near Ashok Watika, Akola.
State Maharashtra.
Pin 444001,
Maharashtra, 444001"
503,"GOVERNMENT MEDICAL COLLEGE,
LATUR , Government Medical College, Latur, Behind Old Railway Station, Near Marwadi Rajasthan Vidyalaya, Lat, Maharashtra, 413512"
504,"GOVERNMENT MEDICAL COLLEGE,
MIRAJ , Pandharpur Road Miraj tal Miraj Dist sangli, Maharashtra, 416410"
505,"GOVERNMENT MEDICAL COLLEGE,
SURAT , Out Side Majura Gate, New Civil Hospital Campus, Opp.
Income Tax office, Surat - 395001,
Gujarat, 395001"
506,"GOVERNMENT MEDICAL COLLEGE, AKOLA,Collector Office Road, Near Ashok Watika, Akola. State Maharashtra. Pin 444001, Maharashtra, 444001"
507,"GOVERNMENT MEDICAL COLLEGE, ANANTNAG J&K , VERINAG ROAD DIALGAM ANANTNAG, Jammu
And Kashmir, 192210"
508,"GOVERNMENT MEDICAL COLLEGE, ANANTNAG J&K,VERINAG ROAD DIALGAM
ANANTNAG, Jammu And Kashmir, 192210"
509,"GOVERNMENT MEDICAL COLLEGE, BUNDI , GOVT MEDICAL COLLEGE
BUNDI, Rajasthan, 323001"
510,"GOVERNMENT MEDICAL COLLEGE, BUNDI,GOVT MEDICAL COLLEGE BUNDI,
Rajasthan, 323001"
511,"GOVERNMENT MEDICAL COLLEGE, HANDWARA , MAIDAN CHOGAL, HANDWARA,
KUPWARA, Jammu And Kashmir, 193221"
512,"GOVERNMENT MEDICAL COLLEGE, HANDWARA,MAIDAN CHOGAL, HANDWARA,
KUPWARA, Jammu And Kashmir, 193221"
513,"GOVERNMENT MEDICAL COLLEGE, LATUR,Government Medical College, Latur, Behind Old Railway Station, Near Marwadi Rajasthan Vidyalaya, Lat, Maharashtra, 413512"
514,"GOVERNMENT MEDICAL COLLEGE, MIRAJ,Pandharpur Road Miraj tal Miraj Dist sangli, Maharashtra, 416410"
515,"GOVERNMENT MEDICAL COLLEGE, OSMANABAD , Covid
19 Building, District Hospital Campus, Civil Hospital compound, Osmanabad, Maharashtra, 413501"
516,"GOVERNMENT MEDICAL COLLEGE, OSMANABAD , New
Building, Civil Hospital Compound, Marwad Galli, Osmanabad, Maharashtra, 413501"
517,"GOVERNMENT MEDICAL COLLEGE, OSMANABAD,Covid 19 Building, District Hospital Campus, Civil Hospital compound, Osmanabad, Maharashtra, 413501"
518,"GOVERNMENT MEDICAL COLLEGE, OSMANABAD,New Building, Civil Hospital Compound, Marwad Galli, Osmanabad, Maharashtra, 413501"
519,"GOVERNMENT MEDICAL COLLEGE, RAJOURI ,
Government Medical College, Kheora, Mehra, Rajouri, Jammu and Kashmir., Jammu And Kashmir, 185131"
520,"GOVERNMENT MEDICAL COLLEGE, RAJOURI,Government Medical College, Kheora, Mehra, Rajouri, Jammu and Kashmir., Jammu And Kashmir, 185131"
521,"GOVERNMENT MEDICAL COLLEGE, SANGAREDDY , OPP. TOWN POLICE STATION, NETAJI NAGAR, SANGAREDDY DISTRICT, TELANGANA -
502001, Telangana,
502001"
522,"GOVERNMENT MEDICAL COLLEGE, SANGAREDDY,OPP. TOWN POLICE STATION, NETAJI NAGAR, SANGAREDDY DISTRICT, TELANGANA - 502001,
Telangana, 502001"
523,"GOVERNMENT MEDICAL COLLEGE, SANGAREDDY,OPP. TOWN POLICE STATION, NETAJI NAGAR, SANGAREDDY DISTRICT, TELANGANA - 502001, Telangana, 502001"
524,"GOVERNMENT MEDICAL COLLEGE, SRIGANGANAGAR,
RAJASTHAN,Government Medical college sriganganagar rajasthan, Rajasthan, 335001"
525,"GOVERNMENT MEDICAL COLLEGE, SRIGANGANAGAR, RAJASTHAN ,
Government Medical college sriganganagar rajasthan, Rajasthan, 335001"
526,"GOVERNMENT MEDICAL COLLEGE, SRIGANGANAGAR, RAJASTHAN,Government
Medical college sriganganagar rajasthan, Rajasthan, 335001"
527,"GOVERNMENT MEDICAL COLLEGE, SURAT,Out Side Majura Gate, New Civil Hospital Campus, Opp. Income Tax office, Surat - 395001, Gujarat, 395001"
528,"GOVT DEN COLL DENTAL WING PATIALA
,Govt.De ntal College and Hospital, Patiala, Punjab, 147001"
529,"GOVT DEN COLL DENTAL WING PATIALA ,
Govt.Dental College and Hospital,Patiala, Punjab, 147001"
530,"GOVT DEN COLL DENTAL WING PATIALA,Govt.Dental College and Hospital,Patiala, Punjab, 147001"
531,"GOVT DENTAL
COLLEGE Kannur , Pariyaram Medical College P O, Kannur, Kerala-670503., Kerala, 670503"
532,"GOVT DENTAL COLLEG E
Kannur,P ariyaram Medical College P O,
Kannur, Kerala- 670503.,
Kerala, 670503"
533,"GOVT DENTAL COLLEGE Kannur,Pariyaram Medical College P O, Kannur, Kerala- 670503., Kerala, 670503"
534,"GOVT MEDICA L COLLEG E VIZIANA GARAM,
Opposite Central Tribal Universit y , Near JNTU
Gajulare ga, Vizianag aram, Andhra Pradesh, 535003,
Andhra Pradesh, 535003"
535,"GOVT MEDICA L COLLEG E, WANAP ARTHY
,Marrikun ta, Pebbair Road, Wanapar thy District, Telangan a state., Telangan a, 509103"
536,"GOVT MEDICAL COLLEGE VIZIANAGARAM ,
Opposite Central Tribal University , Near JNTU Gajularega, Vizianagaram, Andhra Pradesh, 535003, Andhra
Pradesh, 535003"
537,"GOVT MEDICAL COLLEGE VIZIANAGARAM,Opposite Central Tribal University , Near JNTU
Gajularega, Vizianagaram,
Andhra Pradesh, 535003, Andhra Pradesh, 535003"
538,"GOVT MEDICAL COLLEGE, WANAPARTHY  ,
Marrikunta, Pebbair Road, Wanaparthy District, Telangana state., Telangana, 509103"
539,"GOVT MEDICAL COLLEGE, WANAPARTHY ,Marrikunta, Pebbair Road, Wanaparthy District, Telangana state., Telangana, 509103"
540,"GOVT.
D.C. & RESEAR
CH INST,BA NGALOR E,FORT, VICTORI A HOSPIT AL CAMPU S, BANGAL ORE,
Karnatak a, 560002"
541,"GOVT.
DC & RESEAR CH INSt., BELLAR Y,GOVT DENTAL COLLEG E AND RI, VIMS CAMPU S, CANTON MENT BELLAR Y,
Karnatak a, 583104"
542,"GOVT. COLLEG E OF DENTIS TRY, INDORE,
1 Sardar Patel Marg Indore"
543,"GOVT. COLLEGE OF DENTISTRY,
INDORE , 1 Sardar Patel Marg
Indore"
544,"GOVT. COLLEGE OF DENTISTRY, INDORE,1 Sardar Patel Marg
Indore"
545,"GOVT. COLLEGE OF DENTISTRY, INDORE,1 Sardar Patel Marg
Indore, Madhya Pradesh, 452001"
546,"GOVT. D.C. & RESEARCH INST,BANGALORE , FORT, VICTORIA HOSPITAL CAMPUS, BANGALORE"
547,"GOVT. D.C. & RESEARCH INST,BANGALORE , FORT, VICTORIA HOSPITAL CAMPUS, BANGALORE,
Karnataka, 560002"
548,"GOVT. D.C. & RESEARCH INST,BANGALORE,FORT, VICTORIA HOSPITAL CAMPUS, BANGALORE"
549,"GOVT. D.C. & RESEARCH INST,BANGALORE,FORT, VICTORIA HOSPITAL CAMPUS, BANGALORE, Karnataka, 560002"
550,"GOVT. DC & RESEARCH INSt., BELLARY , GOVT DENTAL COLLEGE AND RI, VIMS CAMPUS, CANTONMENT BELLARY"
551,"GOVT. DC & RESEARCH INSt., BELLARY , GOVT DENTAL COLLEGE AND RI, VIMS CAMPUS, CANTONMENT BELLARY,
Karnataka, 583104"
552,"GOVT. DC & RESEARCH INSt., BELLARY,GOVT DENTAL COLLEGE AND RI, VIMS CAMPUS, CANTONMENT BELLARY"
553,"GOVT. DC & RESEARCH INSt., BELLARY,GOVT DENTAL COLLEGE AND RI, VIMS CAMPUS, CANTONMENT BELLARY, Karnataka, 583104"
554,"GOVT. DENTAL COLL.& HOSP., JAMNAG AR,Opp.
City Police Line, Navaga m Ghed, Jamnaga r, Gujarat, 361008"
555,"GOVT. DENTAL COLL.& HOSP., JAMNAGAR , Opp.
City Police Line, Navagam Ghed, Jamnagar, Gujarat, 361008"
556,"GOVT. DENTAL COLL.& HOSP., JAMNAGAR,Opp. City Police Line,
Navagam Ghed, Jamnagar, Gujarat, 361008"
557,"GOVT. DENTAL COLLEG
E & HOSP,A HMEDA BAD,NE W CIVIL HOSPIT AL CAMPU S, ASARW A, AHMED ABAD,
Gujarat, 380016"
558,"GOVT. DENTAL COLLEG
E & HOSP.,A URANG ABAD,G
overnme nt Medical College and Hospital Campus Dhanwan tari Nagar Ghati Auranga bad, Maharas htra, 431001"
559,"GOVT. DENTAL COLLEG
E & HOSP.,M UMBAI,S
t Georges Hospital Compou nd P D Mellow road Fort Mumbai, Maharas htra, 400001"
560,"GOVT. DENTAL COLLEG
E & HOSP.,N AGPUR,
Governm ent Dental College And Hospital GMC
Campus Nagpur, Maharas htra, 440003"
561,"GOVT. DENTAL COLLEG E, KOTTAY
AM,Gove rnment Dental College, P.O.Gan
dhinagar Kottayam
- 686008,
Kerala, 686008"
562,"GOVT. DENTAL COLLEG E, KOZIKO DE,MEDI CAL COLLEG E CAMPU S, MEDICA L COLLEG E P.O., KOZHIK ODE,
Kerala, 673008"
563,"GOVT. DENTAL COLLEG E, RAIPUR,
Near Marahi Mata Mandir, Rajband ha Maidan, Raipur (C.G.),
Chhattisg arh, 492001"
564,"GOVT. DENTAL COLLEG E, SHIMLA, HP GOVER NMENT DENTAL COLLEG E AND HOSPIT AL SHIMLA"
565,"GOVT. DENTAL COLLEG E, TRIVAN DRUM,G
ovt Dental College Thiruvan anthapur am Kerala, Kerala, 695011"
566,"GOVT. DENTAL COLLEGE & HOSP,AHMEDABAD
, NEW CIVIL HOSPITAL CAMPUS, ASARWA, AHMEDABAD,
Gujarat, 380016"
567,"GOVT. DENTAL COLLEGE & HOSP,AHMEDABAD,NEW CIVIL HOSPITAL CAMPUS, ASARWA, AHMEDABAD, Gujarat, 380016"
568,"GOVT. DENTAL COLLEGE & HOSP.,AURANGABA
D , Government Medical College and Hospital Campus Dhanwantari Nagar Ghati Aurangabad, Maharashtra, 431001"
569,"GOVT. DENTAL COLLEGE & HOSP.,AURANGABAD,Government Medical College and Hospital Campus Dhanwantari Nagar Ghati Aurangabad, Maharashtra, 431001"
570,"GOVT. DENTAL COLLEGE & HOSP.,MUMBAI , St
Georges Hospital Compound P D Mellow road Fort Mumbai, Maharashtra, 400001"
571,"GOVT. DENTAL COLLEGE & HOSP.,MUMBAI,St Georges Hospital Compound P D Mellow road Fort Mumbai, Maharashtra, 400001"
572,"GOVT. DENTAL COLLEGE & HOSP.,NAGPUR ,
Government Dental College And Hospital GMC Campus Nagpur, Maharashtra, 440003"
573,"GOVT. DENTAL COLLEGE & HOSP.,NAGPUR,Government Dental College And Hospital GMC Campus Nagpur, Maharashtra, 440003"
574,"GOVT. DENTAL COLLEGE, KOTTAYAM ,
Government Dental College, P.O.Gandhinagar Kottayam- 686008,
Kerala, 686008"
575,"GOVT. DENTAL COLLEGE, KOTTAYAM,Government Dental College, P.O.Gandhinagar
Kottayam- 686008, Kerala, 686008"
576,"GOVT. DENTAL COLLEGE, KOTTAYAM,Government Dental College, P.O.Gandhinagar Kottayam- 686008, Kerala, 686008"
577,"GOVT. DENTAL COLLEGE, KOZIKODE , MEDICAL COLLEGE CAMPUS, MEDICAL COLLEGE P.O., KOZHIKODE, Kerala, 673008"
578,"GOVT. DENTAL COLLEGE, KOZIKODE,MEDICAL COLLEGE CAMPUS, MEDICAL COLLEGE P.O., KOZHIKODE, Kerala, 673008"
579,"GOVT. DENTAL COLLEGE, RAIPUR ,
Near Marahi Mata Mandir, Rajbandha Maidan, Raipur (C.G.), Chhattisgarh, 492001"
580,"GOVT. DENTAL COLLEGE, RAIPUR,Near Marahi Mata Mandir, Rajbandha Maidan, Raipur (C.G.), Chhattisgarh, 492001"
581,"GOVT. DENTAL COLLEGE, SHIMLA , HP GOVERNMENT DENTAL COLLEGE AND HOSPITAL SHIMLA"
582,"GOVT. DENTAL COLLEGE, SHIMLA,HP GOVERNMENT DENTAL COLLEGE AND HOSPITAL SHIMLA"
583,"GOVT. DENTAL COLLEGE, TRIVANDRUM , Govt
Dental College Thiruvananthapuram Kerala"
584,"GOVT. DENTAL COLLEGE, TRIVANDRUM , Govt
Dental College Thiruvananthapuram Kerala, Kerala, 695011"
585,"GOVT. DENTAL COLLEGE, TRIVANDRUM,Govt Dental College Thiruvananthapuram Kerala"
586,"GOVT. DENTAL COLLEGE, TRIVANDRUM,Govt Dental College Thiruvananthapuram Kerala, Kerala, 695011"
587,"GOVT. DHARA MAPURI MED COLL,D HARMA PURI,NE THAJI BYPASS ROAD DHARM APURI,
Tamil Nadu, 636701"
588,"GOVT. DHARAMAPURI MED COLL,DHARMAPURI
, NETHAJI BYPASS ROAD DHARMAPURI, Tamil Nadu, 636701"
589,"GOVT. DHARAMAPURI MED COLL,DHARMAPURI,NETHAJI BYPASS ROAD DHARMAPURI, Tamil Nadu, 636701"
590,"GOVT. KILPAUK MEDICA L COLLEG E,CHEN NAI,No.
822, EVR
Periyar salai , Kilpauk, Chennai, Tamil Nadu, 600010"
591,"GOVT. KILPAUK MEDICAL COLLEGE,CHENNAI
, No. 822, EVR
Periyar salai , Kilpauk,Chennai, Tamil Nadu, 600010"
592,"GOVT. KILPAUK MEDICAL COLLEGE,CHENNAI,No. 822, EVR Periyar salai ,
Kilpauk,Chennai, Tamil Nadu, 600010"
593,"GOVT. MEDICA L COLLEG E, KOTTAY AM,GAN DHINAG AR P O KOTTAY AM KERALA 686008,
Kerala, 686008"
594,"GOVT. MEDICA L COLLEG E, KOZHIK
ODE,Prin cipal, Govt. Medical College, Medical College (P.O)-
Kozhikod e, Kerala, 673008"
595,"GOVT. MEDICA L COLLEG E, NAGPU
R,Hanum an Nagar,N agpur, Maharas htra, 440003"
596,"GOVT. MEDICA L COLLEG E,AURA NGABAD
,Govern ment Medical College, Auranga bad, Jubli Park, Panchak ki Road, Auranga bad (M.S.).,
Maharas htra, 431001"
597,"GOVT. MEDICA L COLLEG E,PATIA
LA,Sangr ur road Governm ent Medical College, Patiala, Punjab, 147001"
598,"GOVT. MEDICA L COLLEG E,TIRUN ELVELI, DEAN, TIRUNE LVELI MEDICA L COLLEG E, HIGHGR OUND, TIRUNE LVELI-
11, Tamil Nadu, 627011"
599,"GOVT. MEDICAL COLLEGE, KOTTAYAM , GANDHINAGAR P O KOTTAYAM KERALA 686008,
Kerala, 686008"
600,"GOVT. MEDICAL COLLEGE, KOTTAYAM,GANDHINAGAR P O KOTTAYAM
KERALA 686008, Kerala, 686008"
601,"GOVT. MEDICAL COLLEGE, KOZHIKODE ,
Principal, Govt. Medical College, Medical College (P.O)- Kozhikode, Kerala, 673008"
602,"GOVT. MEDICAL COLLEGE, KOZHIKODE,Principal, Govt. Medical College, Medical College (P.O)- Kozhikode, Kerala, 673008"
603,"GOVT. MEDICAL COLLEGE, NAGPUR
, Hanuman Nagar,Nagpur"
604,"GOVT. MEDICAL COLLEGE, NAGPUR
, Hanuman Nagar,Nagpur, Maharashtra, 440003"
605,"GOVT. MEDICAL COLLEGE, NAGPUR,Hanuman Nagar,Nagpur"
606,"GOVT. MEDICAL COLLEGE, NAGPUR,Hanuman Nagar,Nagpur, Maharashtra, 440003"
607,"GOVT. MEDICAL COLLEGE,AURANG
ABAD , Government Medical College, Aurangabad, Jubli Park, Panchakki Road, Aurangabad (M.S.)."
608,"GOVT. MEDICAL COLLEGE,AURANG
ABAD , Government Medical College, Aurangabad, Jubli Park, Panchakki Road, Aurangabad (M.S.)., Maharashtra, 431001"
609,"GOVT. MEDICAL COLLEGE,AURANGABAD,Government Medical College, Aurangabad, Jubli Park, Panchakki Road, Aurangabad (M.S.)."
610,"GOVT. MEDICAL COLLEGE,AURANGABAD,Government Medical College, Aurangabad, Jubli Park, Panchakki Road, Aurangabad (M.S.)., Maharashtra, 431001"
611,"GOVT. MEDICAL COLLEGE,PATIALA ,
Sangrur road Government Medical College, Patiala, Punjab, 147001"
